Model,Accuracy (mean±std),Sensitivity (mean±std),Specificity (mean±std),MCC (mean±std),AUC (mean±std)
RF,0.862±0.008,0.854±0.013,0.870±0.011,0.723±0.015,0.934±0.006
SVR,0.838±0.010,0.854±0.011,0.820±0.014,0.674±0.020,0.911±0.008
